 2016-12-23 10:29:04,017 [P13324/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on HN-SD-0381-WK
 2016-12-23 10:29:04,080 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-12-23 10:29:04,089 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 8ms)
 2016-12-23 10:29:04,133 [P13324/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2016-12-23 10:29:04,134 [P13324/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2016-12-23 10:29:04,138 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-12-23 10:29:04,374 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 236ms)
 2016-12-23 10:29:04,399 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-12-23 10:29:04,406 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
 2016-12-23 10:29:04,407 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-12-23 10:29:04,414 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 7ms)
 2016-12-23 10:29:04,424 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-12-23 10:29:04,434 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 9ms)
 2016-12-23 10:29:04,435 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-12-23 10:29:04,444 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 8ms)
 2016-12-23 10:29:04,473 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-12-23 10:29:04,480 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 6ms)
 2016-12-23 10:29:04,481 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-12-23 10:29:04,488 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 7ms)
 2016-12-23 10:29:05,232 [P13324/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-23 10:29:05,362 [P13324/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-23 10:29:05,368 [P13324/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-12-23 10:29:05,379 [P13324/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-12-23 10:29:05,388 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-12-23 10:29:05,399 [P13324/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 10ms)
 2016-12-23 10:29:05,519 [P13324/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-12-23 10:29:05,524 [P13324/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-23 10:29:05,542 [P13324/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1604ms)
 2016-12-23 10:29:05,672 [P13324/D2/T9] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:62845/umbraco (UmbracoModule request)
 2016-12-23 10:29:05,856 [P13324/D2/T9] INFO  umbraco.content - Load Xml from file...
 2016-12-23 10:29:05,864 [P13324/D2/T9] INFO  umbraco.content - Loaded Xml from file.
 2016-12-23 10:29:06,284 [P13324/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-12-23 10:29:06,296 [P13324/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 12ms)
 2016-12-23 10:29:12,469 [P13324/D2/T5] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2016-12-23 10:30:05,912 [P13324/D2/T15] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-12-22 10:30:05
 2016-12-23 10:34:31,384 [P13324/D2/T28] INFO  UmbracoCms.Controllers.CategoryApiController - From the CategoryApiController.cs.
 2016-12-23 10:34:37,592 [P13324/D2/T23] INFO  UmbracoCms.Controllers.BaseSurfaceController - From the controller: 'ProductSurface', action: 'Index', class: 'ProductSurfaceController.cs'.
 2016-12-23 10:34:37,592 [P13324/D2/T23] INFO  UmbracoCms.Controllers.BaseUmbracoApiController - product_id: '0'
 2016-12-23 10:34:40,795 [P13324/D2/T27] INFO  UmbracoCms.Controllers.CategoryApiController - From the CategoryApiController.cs.
 2016-12-23 10:34:42,537 [P13324/D2/T16] INFO  UmbracoCms.Controllers.BaseUmbracoApiController - From the controller: 'CategoryApi', action: 'GetProducts', class: 'CategoryApiController.cs'.
 2016-12-23 10:34:42,537 [P13324/D2/T16] INFO  UmbracoCms.Controllers.BaseUmbracoApiController - category_id: '3'
 2016-12-23 10:34:46,999 [P13324/D2/T16] INFO  UmbracoCms.Controllers.BaseSurfaceController - From the controller: 'ProductSurface', action: 'Index', class: 'ProductSurfaceController.cs'.
 2016-12-23 10:34:46,999 [P13324/D2/T16] INFO  UmbracoCms.Controllers.BaseUmbracoApiController - product_id: '1'
 2016-12-23 10:34:51,004 [P13324/D2/T28] INFO  UmbracoCms.Controllers.CategoryApiController - From the CategoryApiController.cs.
 2016-12-23 10:34:58,518 [P13324/D2/T16] INFO  UmbracoCms.Controllers.BaseSurfaceController - From the controller: 'ProductSurface', action: 'Index', class: 'ProductSurfaceController.cs'.
 2016-12-23 10:34:58,518 [P13324/D2/T16] INFO  UmbracoCms.Controllers.BaseUmbracoApiController - product_id: '0'
 2016-12-23 10:35:01,920 [P13324/D2/T23] INFO  UmbracoCms.Controllers.CategoryApiController - From the CategoryApiController.cs.
 2016-12-23 10:51:30,807 [P13324/D2/T69] INFO  UmbracoCms.Controllers.BaseSurfaceController - From the controller: 'ProductSurface', action: 'Index', class: 'ProductSurfaceController.cs'.
 2016-12-23 10:51:30,807 [P13324/D2/T69] INFO  UmbracoCms.Controllers.BaseUmbracoApiController - product_id: '0'
 2016-12-23 10:51:33,314 [P13324/D2/T75] INFO  UmbracoCms.Controllers.CategoryApiController - From the CategoryApiController.cs.
 2016-12-23 10:55:03,455 [P13324/D2/T91] INFO  UmbracoCms.Controllers.CategoryApiController - From the CategoryApiController.cs.
 2016-12-23 10:56:45,292 [P12668/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on HN-SD-0381-WK
 2016-12-23 10:56:45,308 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-12-23 10:56:45,315 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 7ms)
 2016-12-23 10:56:45,357 [P12668/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2016-12-23 10:56:45,358 [P12668/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2016-12-23 10:56:45,362 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-12-23 10:56:45,587 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 224ms)
 2016-12-23 10:56:45,598 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-12-23 10:56:45,605 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
 2016-12-23 10:56:45,605 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-12-23 10:56:45,618 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 13ms)
 2016-12-23 10:56:45,629 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-12-23 10:56:45,638 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 9ms)
 2016-12-23 10:56:45,638 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-12-23 10:56:45,647 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 8ms)
 2016-12-23 10:56:45,676 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-12-23 10:56:45,684 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 7ms)
 2016-12-23 10:56:45,684 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-12-23 10:56:45,692 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 7ms)
 2016-12-23 10:56:46,413 [P12668/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-23 10:56:46,539 [P12668/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-23 10:56:46,544 [P12668/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-12-23 10:56:46,557 [P12668/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-12-23 10:56:46,566 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-12-23 10:56:46,575 [P12668/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 8ms)
 2016-12-23 10:56:46,677 [P12668/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-12-23 10:56:46,683 [P12668/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-23 10:56:46,700 [P12668/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1468ms)
 2016-12-23 10:56:46,805 [P12668/D2/T9] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:62845/umbraco (UmbracoModule request)
 2016-12-23 10:56:46,972 [P12668/D2/T9] INFO  umbraco.content - Load Xml from file...
 2016-12-23 10:56:46,977 [P12668/D2/T9] INFO  umbraco.content - Loaded Xml from file.
 2016-12-23 10:56:47,351 [P12668/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-12-23 10:56:47,363 [P12668/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 12ms)
 2016-12-23 10:56:51,488 [P12668/D2/T9] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
